#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
20949	042931+2640.3	67.37796576	26.67166649	16.45	1.31	80.95	1.54	-48.31	1.11	7.844	0.021	7.534	0.027	7.462	0.029	9.19	0.766	0.002
23497	0	75.77376682	21.59006167	18.88	0.3	68.88	0.27	-41.06	0.15	4.333	0.32	4.375	0.208	4.245	0.021	4.62	0.155	0.005
17928	035004+2235.5	57.51401483	22.59178987	24.89	0.75	156.86	0.88	-60.62	0.73	6.297	0.024	6.088	0.024	6.036	0.02	7.29	0.538	0.015
22271	044742+2609.0	71.92386088	26.1504322	22.52	2.44	111.49	2.61	-82.99	1.92	8.43	0.018	7.877	0.023	7.717	0.027	10.61	1.174	0.005
18018	035103+2354.2	57.76257394	23.90376788	28.27	2.57	148.0	2.75	-48.5	2.44	8.106	0.023	7.54	0.017	7.395	0.02	10.17	1.16	0.04
16908	033735+2120.6	54.39535525	21.34324066	25.18	1.47	144.52	1.73	-26.02	1.44	7.645	0.024	7.274	0.067	7.121	0.02	9.35	0.917	0.001
23983	0	77.33168484	9.82959763	18.28	0.36	65.41	0.35	-7.69	0.2	4.965	0.026	4.929	0.023	4.861	0.023	5.43	0.249	0.01
16529	033250+2341.5	53.20823143	23.6922828	22.81	0.99	161.09	1.32	-41.13	1.15	7.374	0.021	7.018	0.017	6.907	0.016	8.88	0.844	0.0
24019	0	77.43773058	28.03060827	19.01	1.34	55.5	1.55	-58.91	0.67	5.545	0.019	5.484	0.02	5.427	0.016	5.93	0.311	0.005
14838	0	47.90695681	19.72669782	19.22	0.19	153.33	0.19	-8.28	0.15	2.775	0.274	2.303	0.18	2.169	0.248	4.35	1.033	0.005
20218	041957-0426.4	64.98796884	-4.43867357	26.24	0.75	-59.64	0.97	-35.47	0.97	6.652	0.019	6.329	0.031	6.282	0.02	7.84	0.673	0.008
13600	025516+1753.5	43.81754915	17.89174243	20.27	1.08	119.43	1.54	-13.53	0.91	7.561	0.023	7.215	0.04	7.179	0.024	8.83	0.704	0.023
14232	0	45.87547157	28.26995606	21.75	0.47	66.12	0.45	-21.23	0.37	5.716	0.021	5.647	0.047	5.546	0.017	6.38	0.306	0.007
16517	0	53.16592625	35.65943528	20.19	0.7	132.52	0.81	-58.34	0.75	6.354	0.018	6.147	0.018	6.109	0.021	7.29	0.503	0.019
